"Identifiant de la publication","Lien permanent","Message de publication",Type,Pays,Langues,Publié,"Ciblage d’audience","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
447103548968697_1425167911162251,https://www.facebook.com/refyld/posts/1425167911162251,"💫 Une semaine évènement autour du projet Refyld 💫⁠⁠
⁠⁠
À partir de demain 18h30, on vous embarque avec nous pour apprendre à connaître Refyld sur le bout des doigts. L'idée ? Répondre à toutes vos questions à travers des talks inspirants. ⁠⁠
⁠⁠
AU PROGRAMME : ⁠⁠
👉 Mardi 02/03 - 18h30 : Live Talk Inspiration &quot;La genèse de Refyld&quot; - Debora &amp; Baptiste seront en live pour vous parler de leur parcours avant de lancer Refyld⁠⁠
⁠⁠
👉 Mercredi 03/03 - 12h30 : Live Talk &quot;Les premiers produits Refyld&quot; - Origine, fabrication, date de sortie de la gamme hygiène... Vous pourrez aussi nous poser toutes vos questions.⁠⁠
⁠⁠
👉 Jeudi 04/03 - 18h30 : Talk IGTV Inspiration &quot;L'entrepreneuriat au féminin&quot; - Avec Flore, délégué générale de Willa &amp; Sarah, directrice des programmes chez @willa_off⁠⁠
⁠⁠
👉 Vendredi 05/03 - 12h30 : Live Talk Inspiration &quot;Comment appréhender la problématique des déchets&quot; - avec une invitée surprise⁠⁠
⁠⁠
⁠⁠
+ UN JEU CONCOURS SOUS LE SIGNE DE L'ENTREPRENEURIAT &amp; DU BIEN-ÊTRE - mercredi à 11h 💛⁠⁠
⁠⁠
+ NOTRE ZERO WASTE GUIDE À TÉLÉCHARGER GRATUITEMENT - en vous abonnant à notre newsletter 🙌⁠⁠
⁠⁠
Prêt.e à nous connaître sur le bout des doigts ? 🤗⁠⁠

*Cette semaine de Lives se déroulera sur Instagram, mais nous  partagerons les lien des replays sur cette page Facebook.",Photo,,,"03/01/2021 08:26:28 AM"," ",404,404,0,409,409,0,11,5,5,1,1,314,313,0,0,10,0,0,0,0,0,0,0,0,0,0,6,1,2,6,1,2,2,3,,2,3,,1,,1,
447103548968697_1420840184928357,https://www.facebook.com/refyld/posts/1420840184928357,"Le « Zero Waste Guide » bientôt en ligne 💫🌿⁠
〰️⁠
⁠
Le mode de vie zéro déchet, c’est bien - mais on ne sait pas vous, mais chez Refyld cette démarche nous fait nous poser pas mal de questions : est-ce que ce n'est pas un peu trop utopiste ? Si je n'y arrive pas, je vais forcément culpabiliser ? Mais ça va me rajouter de la charge mentale ?⁠
⁠
Nous avons alors voulu créer un support qui puisse vous aider à vivre un style de vie sans déchet, tout en ayant un sentiment de compréhension et de progrès (oui, sinon ce n'est pas drôle). ⁠
⁠
👉 Notre volonté ? Remettre en question la notion même de jetable au quotidien.⁠
⁠
Le Zero Waste Guide est un outil qui va vous accompagner au quotidien grâce à des pages types pour suivre votre progression : ⁠
- le calendrier⁠
- le journal des éléments inconnus ⁠
- le check-up⁠
Ainsi que des conseils pour vous éviter le casse-tête !⁠
⁠
Nous avons rédigé ce guide avec passion et sincérité. Et nous espérons qu’il vous permettra, comme nous, de prendre goût aux expérimentations en vous initiant à une consommation meilleure pour vous, comme pour la planète. 🌿⁠
⁠
➖ Le « Zero Waste Guide » sera téléchargeable gratuitement la semaine prochaine depuis notre site 💫",Photo,,,"02/23/2021 04:11:56 AM"," ",465,465,0,477,477,0,18,4,4,2,2,346,333,0,0,15,0,0,0,0,0,0,0,0,0,0,14,,3,15,,4,4,,,4,,,2,,2,
447103548968697_1420134864998889,https://www.facebook.com/refyld/posts/1420134864998889,"La Team Refyld a besoin de s'agrandir 💫⁠
⁠
On recherche deux nouvelles personnes pour mettre encore plus d'énergie dans le projet : ⁠
⁠
👉 Un.e bras droit : e-commerce, production &amp; opération #stage : https://bit.ly/3pJVmpL
⁠
👉 Un.e assistant.e marketing digital : acquisition &amp; crm #stage : https://bit.ly/3bwQMG6 ⁠
⁠
Rejoignez-nous 🚀⁠

#refyld #equipe #teamwork #startup #libérerlaqualité",Photo,,,"02/22/2021 03:11:45 AM"," ",783,783,0,796,796,0,39,22,25,1,1,443,423,0,0,28,0,0,0,0,0,0,0,0,0,0,19,,1,19,,5,12,8,4,13,8,4,1,,1,
447103548968697_1418142991864743,https://www.facebook.com/refyld/photos/a.454809411531444/1418142991864743/?type=3,"Inutile de vous faire un dessin sur la situation actuelle : nous avons tous besoin d'un savon liquide. Toute la journée, plus que jamais. 🙌⁠
⁠
Notre savon à nous, présente un double avantage : sa grande douceur est idéale pour les peaux (très) délicates, à utiliser comme savon pour les mains, ou comme savon pour le corps. ⁠
⁠
0% paraben, 0% huile de palme, 0% parfum, 100% naturel &amp; bientôt disponible sur refyld.com 💫⁠
⁠
⁠#refyld #refyldisthenewrecycle",Photo,,,"02/19/2021 03:15:10 AM"," ",411,411,0,414,414,0,26,14,19,2,2,335,328,0,0,25,0,0,0,0,0,0,0,0,0,0,14,,,14,,1,3,3,12,4,3,12,1,1,1,1
447103548968697_1413215862357456,https://www.facebook.com/refyld/photos/a.454809411531444/1413215862357456/?type=3,"Alerte : le lancement des produits Refyld, c'est pour bientôt !⁠ 💫⁠
⁠
La production des premiers produits dédiés à l'hygiène démarre dans quelques jours. On a pris un peu de retard sur le lancement, mais la première gamme devrait être en ligne d'ici fin mars. ⁠
⁠
On a hâte. ⁠
⁠
💛 Et merci à nos premiers membres de nous avoir aidé à concevoir cette gamme.💛 ⁠
⁠
#Refyld #refyldisthenewrecycle #moinsmaismieux #laqualiteaprixcoutant #comingsoon #lancement ⁠",Photo,,,"02/12/2021 02:00:41 AM"," ",538,538,0,555,555,0,38,20,29,0,0,444,430,0,0,35,0,0,0,0,0,0,0,0,0,0,21,3,2,21,3,2,17,3,,26,3,,,,,
447103548968697_1412504475761928,https://www.facebook.com/refyld/posts/1412504475761928,"Vendredi dernier, la team Refyld shootait les premiers produits de la gamme hygiène 📸⁠⁠
⁠⁠
On a vraiment hâte de vous montrer le résultat !⁠⁠
⁠⁠
Un grand merci au Studio Quotidien de nous avoir accueilli 💫⁠⁠
⁠⁠
#Refyld #refyldisthenewrecycle #moinsmaismieux #laqualiteaprixcoutant ⁠#shooting",Photo,,,"02/11/2021 02:59:29 AM"," ",495,495,0,514,514,0,37,25,27,0,0,464,443,0,0,36,0,0,0,0,0,0,0,0,0,0,20,,,20,,,15,12,,15,12,,,,,
447103548968697_1411124399233269,https://www.facebook.com/refyld/photos/a.454809411531444/1411124399233269/?type=3,"On vous souhaite de passer une belle semaine ! ⁠💫⁠ ⁠

#refyld #refyldisthenewrecycle #moinsmaismieux",Photo,,,"02/09/2021 03:25:09 AM"," ",397,397,0,403,403,0,16,6,6,0,0,356,354,0,0,16,0,0,0,0,0,0,0,0,0,0,11,,,11,,,4,2,,4,2,,,,,
447103548968697_1407021829643526,https://www.facebook.com/refyld/posts/1407021829643526,"On met quoi dans nos assiettes en Février ? 👀⁠
⁠
L'hiver commence à se faire long, il faut donc en profiter ⁠pour faire le plein :⁠
🍊⁠ de vitamines : carottes, orange, citron⁠
🌱⁠de minéraux et d'oligo-éléments : endives, blettes, betterave⁠
🥬 de fibres : chou-fleur, poireau, potiron, à consommer de préférence cuit pour profiter de toute leur richesse en nutriments et vitamines ⁠
🇫🇷⁠ de bonheur ⁠: fruits et légumes de saison et local , bien évidemment⁠
⁠
Si vous avez des idées de recettes à partager pour ce mois de février, n'hésitez pas👇",Photo,,,"02/03/2021 12:28:52 AM"," ",190,190,0,200,200,0,3,0,0,0,0,159,151,0,0,3,0,0,0,0,0,0,0,0,0,0,3,,,3,,,,,,,,,,,,
447103548968697_1405888773090165,https://www.facebook.com/refyld/posts/1405888773090165,"Mieux consommer est-il un privilège ? 🧐 ⁠
Mieux consommer est il réservé aux plus aisés ? 👀 ⁠
Peut-on se permettre de se préoccuper de la consommation responsable lorsque l’on ne dispose que de faibles revenus ? 🤔⁠
⁠
C’est à ces questions que l’on tente de réfléchir mais surtout, de répondre avec Refyld. ⁠
⁠
En France, 8,9 millions de personnes vivent sous le seuil de pauvreté, soit avec moins de 1 041€ par mois (pour un individu seul). Et selon une étude réalisée par le cabinet Greenflex, les Français.es en situation de précarité sont moins portés sur la consommation durable et ses enjeux, que la moyenne de leurs compatriotes.⁠
⁠
Ajoutez à cela, la confusion et le sentiment d’un manque de transparence sur le sujet, et nous voilà nombreux.ses à nous détourner des pratiques « responsables » par manque de compréhension.⁠
⁠
Plus que jamais, avec #Refyld, nous voulons libérer l’accès à la qualité, proposer du concret, de l’information facilement accessible et de la proximité. Oui, l’enjeu est réel, pour que nous puissions faire évoluer notre monde, nous avons besoin que chacun.e d’entre nous puisse avoir accès à une consommation saine et de qualité.✊🌿💛⁠
⁠
Qu'en pensez-vous ? 👀",Photo,,,"02/01/2021 05:41:51 AM"," ",456,456,0,479,479,0,15,4,4,0,0,395,378,0,0,14,0,0,0,0,0,0,0,0,0,0,12,,1,13,,1,4,,,4,,,,,,
447103548968697_1403067533372289,https://www.facebook.com/refyld/photos/a.454809411531444/1403067533372289/?type=3,"On continu à vous présenter chaque jour un membre de la (dream) team Refyld. Parce que savoir qui est qui et qui fait quoi, c'est important 🙌

On poursuit avec... Bryan Seychelles (oui, son nom fait rêver) :
👉  Développeur Lead Full Stack
👉  Ses domaines : Développement web | Data. C'est Bryan qui s'occupe de mettre sur pied le site le plus cool du monde !
👉 Son mantra : &quot;L'espoir fait vivre, le rêve le fait durer.&quot;
👉 La petite exclu à savoir : Parfois, il aime boire du red bull le matin pour se donner un coup de boost. 

L'équipe devrait s'agrandir encore un petit peu très prochainement 👀",Photo,,,"01/28/2021 02:10:05 AM"," ",456,456,0,480,480,0,9,4,4,1,1,402,381,0,0,8,0,0,0,0,0,0,0,0,0,0,5,,1,6,,1,4,,,4,,,1,,1,
447103548968697_1402333066779069,https://www.facebook.com/refyld/photos/a.454809411531444/1402333066779069/?type=3,"On continu avec les présentations. Parce que savoir qui est qui et qui fait quoi, c'est important 🙌

On poursuit avec... Margaux Jurdic :
👉 Assistante Social Media &amp; Brand Content  
👉 Ses domaines : Communication &amp; Branding. Elle est en charge, au côté de Debora, de toute la communication de Refyld. 
👉 Son mantra : &quot;Build a life you don't need a vacation from.&quot; 🙌
👉 La petite exclu à savoir : Il n’y a pas un jour de la semaine où elle ne like pas une photo de chat sur Instagram. 🐱

À demain pour découvrir un.e autre membre de la team 👀",Photo,,,"01/27/2021 02:05:12 AM"," ",413,413,0,425,425,0,17,8,9,0,0,346,330,0,0,16,0,0,0,0,0,0,0,0,0,0,10,,1,10,,1,5,3,,6,3,,,,,
447103548968697_1401517186860657,https://www.facebook.com/refyld/photos/a.454809411531444/1401517186860657/?type=3,"On poursuit la présentation de la (dream) team Refyld. Parce que savoir qui est qui et qui fait quoi, c'est important 🙌

Aujourd'hui, rencontre avec... Baptiste Emy :
👉 Co-fondateur &amp; CEO 
👉 Ses domaines : Opération | Produit | Finance. Sa règle d'or ? Toujours être curieux et enthousiaste, pour ne jamais avoir peur de faire bouger les lignes. 
👉 Son mantra : &quot;Tout seul on va plus vite, ensemble on va plus loin.&quot; 
👉 La petite exclu à savoir : C'est un fin gourmet, passionné de cuisine 😋

À demain pour découvrir un.e autre membre de la team 👀",Photo,,,"01/26/2021 02:01:04 AM"," ",740,740,0,774,774,0,46,30,45,2,2,529,499,0,0,37,0,0,0,0,0,0,0,0,0,0,22,1,3,23,1,4,29,1,,44,1,,1,1,1,1
447103548968697_1400761593602883,https://www.facebook.com/refyld/photos/a.454809411531444/1400761593602883/?type=3,"Cette semaine on vous présente chaque jour un membre de la (dream) team Refyld. Parce que savoir qui est qui et qui fait quoi, c'est important 🙌

On commence avec... Debora Attal :
👉  Co-fondatrice &amp; CMO 
👉  Ses domaines : Marketing &amp; Communication Digital | Branding. En plus de ses missions de co-fondatrice, Debora est la garante du style et de la communication de la marque.
👉 Son mantra : &quot;La meilleure façon de prédire l'avenir ? C'est de le créer&quot; de Peter Drucker. 
👉 La petite exclu à savoir : Elle aime boire beaucoup (trop) de tisanes. 😉

À demain pour découvrir un.e autre membre de la team 👀",Photo,,,"01/25/2021 01:00:23 AM"," ",747,747,0,780,780,0,47,28,41,0,0,543,527,0,0,34,0,0,0,0,0,0,0,0,0,0,25,3,2,25,3,3,26,2,,39,2,,,,,
447103548968697_1398565033822539,https://www.facebook.com/refyld/posts/1398565033822539,"⚡️ Journée d'intégration ⚡️

Mercredi, nous avons officiellement rejoint la 6ème promotion du programme Look Forward by Showroomprivé. Une promo de startups engagées, prêtes à faire bouger les lignes ! 💪

#startup #incubateur #gogreen",Photo,,,"01/22/2021 01:03:59 AM"," ",596,596,0,625,625,0,34,19,26,1,1,450,419,0,0,25,0,0,0,0,0,0,0,0,0,0,18,3,3,20,3,3,10,9,,17,9,,1,,1,
447103548968697_1397156593963383,https://www.facebook.com/refyld/photos/a.454809411531444/1397156593963383/?type=3,"Encore merci à @milk_magazine pour ce chouette article au sujet de Refyld.💫⁠
⁠
Par ici pour lire l'article 👀  : https://www.milkmagazine.net/refyld-a-fleur-de-peau/
⁠",Photo,,,"01/20/2021 12:05:07 AM"," ",366,366,0,379,379,0,14,8,17,1,1,297,286,0,0,9,0,0,0,0,0,0,0,0,0,0,7,2,1,7,2,1,5,1,5,10,1,6,1,,1,
